order_id,customer_id,order_date,channel,status,city,discount_pct
ORD00043,CUST0426,2022-05-08,Organic,Processing,Kolkata,0
ORD00044,CUST0459,2022-10-18,Organic,Processing,Ahmedabad,0
ORD00045,CUST0321,2022-11-07,Social Media,Delivered,Kolkata,10
ORD00046,CUST0088,2023-11-06,Email,Delivered,Kolkata,0
ORD00047,CUST0334,2022-08-04,Direct,Delivered,Delhi,15
ORD00048,CUST0208,2022-11-01,Paid Search,Delivered,Hyderabad,0
ORD00049,CUST0442,2022-11-23,Paid Search,Delivered,Pune,0
ORD00050,CUST0137,2023-04-06,Organic,Processing,Pune,10
ORD00051,CUST0493,2022-06-13,Paid Search,Returned,Chennai,5
ORD00052,CUST0451,2022-11-12,Paid Search,Delivered,Bangalore,10
ORD00053,CUST0254,2023-09-04,Paid Search,Cancelled,Mumbai,15
ORD00054,CUST0206,2022-02-22,Paid Search,Delivered,Pune,5
ORD00055,CUST0423,2023-10-01,Direct,Delivered,Ahmedabad,0
ORD00056,CUST0481,2023-01-10,Social Media,Delivered,Delhi,0
ORD00057,CUST0366,2022-12-08,Direct,Delivered,Mumbai,10
ORD00058,CUST0379,2022-11-03,Social Media,Delivered,Chennai,0
ORD00059,CUST0170,2023-11-21,Social Media,Returned,Hyderabad,15
ORD00060,CUST0323,2022-01-28,Social Media,Delivered,Jaipur,10
ORD00061,CUST0370,2023-09-27,Organic,Processing,Kolkata,0
ORD00062,CUST0215,2022-06-05,Email,Cancelled,Ahmedabad,15
ORD00063,CUST0266,2022-08-01,Paid Search,Processing,Hyderabad,5
ORD00064,CUST0182,2023-11-24,Direct,Delivered,Kolkata,0
ORD00065,CUST0361,2022-08-01,Direct,Returned,Chennai,0
ORD00066,CUST0279,2023-01-24,Paid Search,Delivered,Indore,15
ORD00067,CUST0132,2023-05-06,Social Media,Processing,Pune,15
ORD00068,CUST0056,2023-09-23,Social Media,Delivered,Bangalore,15
ORD00069,CUST0052,2023-02-28,Social Media,Delivered,Pune,10
ORD00070,CUST0479,2023-05-03,Paid Search,Delivered,Kolkata,0
ORD00071,CUST0379,2022-02-08,Organic,Cancelled,Chennai,5
ORD00072,CUST0480,2022-10-24,Paid Search,Delivered,Pune,0
ORD00073,CUST0233,2023-10-19,Paid Search,Returned,Bangalore,0
ORD00074,CUST0132,2022-07-10,Paid Search,Delivered,Pune,15
ORD00075,CUST0090,2023-09-18,Organic,Delivered,Kolkata,0
ORD00076,CUST0004,2022-09-25,Direct,Delivered,Mumbai,15
ORD00077,CUST0185,2023-12-11,Organic,Delivered,Pune,5
ORD00078,CUST0473,2023-12-22,Direct,Delivered,Indore,10
ORD00079,CUST0245,2022-06-06,Email,Cancelled,Chennai,10
ORD00080,CUST0387,2023-09-03,Paid Search,Delivered,Delhi,0
ORD00081,CUST0058,2022-03-05,Organic,Delivered,Ahmedabad,10
ORD00082,CUST0349,2022-07-30,Paid Search,Delivered,Chennai,5
ORD00083,CUST0345,2022-11-12,Paid Search,Delivered,Bangalore,0
ORD00084,CUST0038,2022-02-16,Direct,Processing,Bangalore,0
ORD00085,CUST0093,2022-05-19,Paid Search,Delivered,Ahmedabad,15
ORD00086,CUST0061,2022-07-02,Email,Returned,Pune,0
ORD00087,CUST0218,2023-06-29,Paid Search,Delivered,Hyderabad,15
ORD00088,CUST0315,2022-01-17,Organic,Delivered,Hyderabad,10
ORD00089,CUST0447,2022-02-19,Paid Search,Delivered,Chennai,0
ORD00090,CUST0258,2022-10-24,Social Media,Delivered,Pune,15
ORD00091,CUST0155,2022-05-27,Paid Search,Delivered,Ahmedabad,10
ORD00092,CUST0321,2023-11-27,Direct,Delivered,Kolkata,10
ORD00093,CUST0077,2022-11-04,Organic,Delivered,Bangalore,15
ORD00094,CUST0212,2023-03-03,Paid Search,Delivered,Bangalore,0
ORD00095,CUST0048,2023-07-03,Paid Search,Delivered,Kolkata,0
ORD00096,CUST0412,2023-08-25,Direct,Delivered,Kolkata,0
ORD00097,CUST0493,2022-05-01,Email,Delivered,Chennai,0
ORD00098,CUST0239,2023-07-01,Social Media,Delivered,Jaipur,0
ORD00099,CUST0469,2022-07-28,Social Media,Delivered,Hyderabad,0
ORD00100,CUST0479,2023-08-22,Organic,Delivered,Kolkata,0
ORD00101,CUST0173,2022-09-21,Paid Search,Delivered,Pune,0
ORD00102,CUST0251,2022-07-08,Organic,Returned,Hyderabad,15
ORD00103,CUST0392,2022-01-07,Organic,Delivered,Mumbai,0
ORD00104,CUST0317,2023-10-16,Social Media,Delivered,Indore,0
ORD00105,CUST0147,2022-01-18,Social Media,Delivered,Delhi,10
ORD00106,CUST0408,2023-02-11,Direct,Delivered,Ahmedabad,0
ORD00107,CUST0116,2022-11-04,Direct,Delivered,Chennai,0
ORD00108,CUST0208,2023-01-24,Organic,Delivered,Hyderabad,5
ORD00109,CUST0440,2022-04-08,Organic,Cancelled,Bangalore,10
ORD00110,CUST0139,2022-02-17,Direct,Cancelled,Mumbai,10
ORD00111,CUST0017,2022-07-03,Organic,Returned,Ahmedabad,5
ORD00112,CUST0289,2022-09-04,Email,Delivered,Ahmedabad,15
ORD00113,CUST0499,2022-12-21,Paid Search,Returned,Jaipur,0
ORD00114,CUST0394,2023-09-21,Paid Search,Processing,Pune,5
ORD00115,CUST0222,2022-07-10,Email,Delivered,Pune,0
ORD00116,CUST0402,2023-10-12,Paid Search,Delivered,Hyderabad,0
ORD00117,CUST0185,2022-10-04,Organic,Delivered,Pune,10
ORD00118,CUST0263,2023-02-22,Organic,Delivered,Chennai,10
ORD00119,CUST0402,2022-11-29,Email,Delivered,Hyderabad,10
ORD00120,CUST0351,2023-01-25,Paid Search,Delivered,Chennai,0
ORD00121,CUST0142,2023-03-08,Paid Search,Processing,Delhi,15
ORD00122,CUST0316,2022-07-20,Direct,Delivered,Bangalore,10
ORD00123,CUST0221,2023-10-29,Social Media,Delivered,Pune,5
ORD00124,CUST0494,2023-02-12,Social Media,Processing,Kolkata,0
ORD00125,CUST0419,2023-02-07,Social Media,Delivered,Delhi,15
ORD00126,CUST0237,2023-12-27,Paid Search,Delivered,Jaipur,5
ORD00127,CUST0072,2023-10-11,Organic,Delivered,Indore,5
ORD00128,CUST0246,2023-08-20,Social Media,Returned,Delhi,0
ORD00129,CUST0469,2022-03-29,Organic,Delivered,Hyderabad,0
ORD00130,CUST0314,2022-02-15,Organic,Delivered,Jaipur,0
ORD00131,CUST0298,2023-12-06,Paid Search,Returned,Kolkata,10
ORD00132,CUST0078,2022-12-20,Organic,Delivered,Delhi,0
ORD00133,CUST0426,2022-05-26,Email,Delivered,Kolkata,0
ORD00134,CUST0370,2023-12-15,Email,Delivered,Kolkata,0
ORD00135,CUST0477,2022-09-07,Paid Search,Delivered,Delhi,5
ORD00136,CUST0323,2022-07-08,Paid Search,Delivered,Jaipur,10
ORD00137,CUST0304,2023-03-16,Paid Search,Delivered,Hyderabad,0
ORD00138,CUST0188,2022-11-30,Paid Search,Cancelled,Mumbai,10
ORD00139,CUST0306,2023-02-02,Email,Delivered,Jaipur,15
ORD00140,CUST0044,2023-11-20,Organic,Delivered,Delhi,0
ORD00141,CUST0262,2023-02-02,Paid Search,Delivered,Mumbai,10
ORD00142,CUST0086,2023-05-17,Email,Delivered,Jaipur,0
ORD00143,CUST0100,2023-01-29,Email,Delivered,Chennai,0
ORD00144,CUST0150,2022-02-03,Organic,Delivered,Kolkata,15
ORD00145,CUST0058,2023-08-10,Email,Returned,Ahmedabad,0
ORD00146,CUST0422,2022-02-12,Email,Delivered,Kolkata,0
ORD00147,CUST0179,2022-03-31,Organic,Delivered,Jaipur,15
ORD00148,CUST0220,2022-06-19,Email,Returned,Mumbai,10
ORD00149,CUST0144,2023-09-04,Paid Search,Delivered,Indore,10
ORD00150,CUST0070,2023-02-26,Direct,Delivered,Ahmedabad,0
ORD00151,CUST0075,2023-12-30,Email,Delivered,Delhi,0
ORD00152,CUST0322,2023-03-01,Paid Search,Delivered,Kolkata,15
ORD00153,CUST0298,2022-01-03,Direct,Delivered,Kolkata,15
ORD00154,CUST0436,2022-03-06,Paid Search,Returned,Delhi,0
ORD00155,CUST0437,2023-05-12,Organic,Delivered,Indore,5
ORD00156,CUST0226,2023-04-13,Organic,Delivered,Chennai,0
ORD00157,CUST0155,2022-06-12,Paid Search,Delivered,Ahmedabad,15
ORD00158,CUST0321,2022-11-09,Organic,Delivered,Kolkata,0
ORD00159,CUST0068,2023-08-31,Paid Search,Delivered,Chennai,0
ORD00160,CUST0356,2022-05-16,Email,Delivered,Delhi,0
ORD00161,CUST0397,2022-05-17,Social Media,Delivered,Hyderabad,0
ORD00162,CUST0370,2022-08-07,Social Media,Delivered,Kolkata,0
ORD00163,CUST0072,2022-05-07,Organic,Delivered,Indore,0
ORD00164,CUST0312,2022-10-19,Email,Cancelled,Kolkata,0
ORD00165,CUST0311,2023-06-06,Paid Search,Delivered,Bangalore,0
ORD00166,CUST0058,2022-09-04,Direct,Delivered,Ahmedabad,0
ORD00167,CUST0216,2023-01-10,Direct,Returned,Indore,0
ORD00168,CUST0008,2022-09-26,Direct,Delivered,Ahmedabad,0
ORD00169,CUST0257,2023-03-02,Social Media,Delivered,Chennai,0
ORD00170,CUST0472,2022-07-28,Paid Search,Delivered,Pune,15
ORD00171,CUST0034,2022-11-14,Organic,Cancelled,Chennai,0
ORD00172,CUST0159,2023-11-14,Email,Delivered,Ahmedabad,0
ORD00173,CUST0268,2023-06-14,Email,Cancelled,Ahmedabad,15
ORD00174,CUST0414,2023-03-16,Email,Delivered,Mumbai,0
ORD00175,CUST0185,2022-02-26,Organic,Returned,Pune,10
ORD00176,CUST0380,2023-06-06,Direct,Delivered,Pune,0
ORD00177,CUST0187,2023-01-28,Organic,Returned,Indore,15
ORD00178,CUST0215,2022-08-18,Paid Search,Returned,Ahmedabad,10
ORD00179,CUST0345,2022-02-23,Social Media,Delivered,Bangalore,5
ORD00180,CUST0444,2022-10-17,Paid Search,Delivered,Kolkata,0
ORD00181,CUST0319,2022-09-06,Email,Delivered,Chennai,0
ORD00182,CUST0120,2023-07-09,Direct,Processing,Ahmedabad,0
ORD00183,CUST0373,2022-11-11,Social Media,Delivered,Delhi,5
ORD00184,CUST0498,2022-05-26,Direct,Delivered,Jaipur,15
ORD00185,CUST0044,2023-08-18,Organic,Returned,Delhi,0
ORD00186,CUST0291,2022-03-05,Paid Search,Delivered,Jaipur,5
ORD00187,CUST0232,2022-10-06,Organic,Returned,Mumbai,0
ORD00188,CUST0085,2023-04-06,Paid Search,Returned,Chennai,5
ORD00189,CUST0047,2022-06-11,Social Media,Delivered,Delhi,0
ORD00190,CUST0128,2022-12-31,Paid Search,Processing,Indore,0
ORD00191,CUST0282,2022-09-13,Organic,Returned,Ahmedabad,0
ORD00192,CUST0032,2022-08-16,Paid Search,Delivered,Jaipur,15
ORD00193,CUST0301,2022-09-23,Direct,Delivered,Kolkata,15
ORD00194,CUST0415,2022-05-12,Email,Returned,Kolkata,0
ORD00195,CUST0483,2023-04-18,Direct,Delivered,Pune,15
ORD00196,CUST0255,2022-01-31,Organic,Delivered,Bangalore,0
ORD00197,CUST0318,2023-09-24,Paid Search,Cancelled,Chennai,5
ORD00198,CUST0144,2023-01-28,Social Media,Returned,Indore,0
ORD00199,CUST0407,2022-01-20,Social Media,Delivered,Bangalore,10
ORD00200,CUST0093,2022-01-27,Direct,Returned,Ahmedabad,0
ORD00201,CUST0393,2023-08-22,Organic,Delivered,Jaipur,10
ORD00202,CUST0392,2022-08-13,Organic,Delivered,Mumbai,15
ORD00203,CUST0361,2023-12-19,Social Media,Delivered,Chennai,5
ORD00204,CUST0252,2022-02-08,Organic,Delivered,Bangalore,10
ORD00205,CUST0001,2022-12-06,Paid Search,Delivered,Delhi,0
ORD00206,CUST0076,2023-08-24,Email,Cancelled,Kolkata,0
ORD00207,CUST0483,2023-11-10,Paid Search,Processing,Pune,15
ORD00208,CUST0163,2022-06-28,Email,Delivered,Jaipur,15
ORD00209,CUST0091,2022-01-02,Organic,Delivered,Bangalore,10
ORD00210,CUST0480,2023-05-24,Organic,Delivered,Pune,0
ORD00211,CUST0454,2022-04-01,Organic,Delivered,Bangalore,0
ORD00212,CUST0001,2022-02-19,Direct,Delivered,Delhi,5
ORD00213,CUST0425,2023-05-06,Organic,Returned,Delhi,0
ORD00214,CUST0134,2022-04-18,Organic,Delivered,Indore,15
ORD00215,CUST0281,2022-04-06,Email,Delivered,Delhi,15
ORD00216,CUST0081,2022-02-24,Organic,Delivered,Bangalore,15
ORD00217,CUST0370,2023-07-08,Organic,Delivered,Kolkata,10
ORD00218,CUST0028,2023-01-05,Organic,Returned,Pune,15
ORD00219,CUST0246,2022-07-24,Organic,Delivered,Delhi,0
ORD00220,CUST0433,2022-04-29,Paid Search,Delivered,Delhi,0
ORD00221,CUST0095,2023-01-15,Paid Search,Delivered,Hyderabad,0
ORD00222,CUST0386,2023-12-15,Social Media,Returned,Chennai,5
ORD00223,CUST0117,2023-07-21,Paid Search,Delivered,Kolkata,10
ORD00224,CUST0444,2023-05-02,Organic,Cancelled,Kolkata,15
ORD00225,CUST0293,2023-06-14,Paid Search,Processing,Indore,0
ORD00226,CUST0065,2022-02-13,Direct,Delivered,Mumbai,10
ORD00227,CUST0045,2023-02-02,Paid Search,Cancelled,Jaipur,15
ORD00228,CUST0058,2023-03-01,Social Media,Returned,Ahmedabad,0
ORD00229,CUST0400,2022-04-14,Direct,Delivered,Pune,15
ORD00230,CUST0243,2022-02-08,Organic,Delivered,Pune,15
ORD00231,CUST0203,2022-12-06,Paid Search,Delivered,Chennai,0
ORD00232,CUST0419,2022-11-07,Direct,Delivered,Delhi,0
ORD00233,CUST0227,2022-11-25,Social Media,Delivered,Jaipur,0
ORD00234,CUST0389,2023-06-13,Email,Delivered,Kolkata,15
ORD00235,CUST0400,2023-06-21,Organic,Returned,Pune,0
ORD00236,CUST0017,2023-04-13,Paid Search,Delivered,Ahmedabad,0
ORD00237,CUST0259,2023-02-11,Organic,Delivered,Chennai,10
ORD00238,CUST0091,2023-05-01,Email,Delivered,Bangalore,0
ORD00239,CUST0084,2023-08-09,Social Media,Delivered,Chennai,0
ORD00240,CUST0263,2022-01-21,Direct,Delivered,Chennai,10
ORD00241,CUST0115,2022-09-16,Paid Search,Cancelled,Mumbai,0
ORD00242,CUST0239,2022-11-06,Direct,Processing,Jaipur,0
ORD00243,CUST0145,2022-11-02,Organic,Processing,Hyderabad,15
ORD00244,CUST0442,2022-10-11,Paid Search,Delivered,Pune,0
ORD00245,CUST0339,2022-11-24,Social Media,Processing,Indore,0
ORD00246,CUST0199,2022-02-06,Email,Delivered,Indore,15
ORD00247,CUST0184,2023-06-04,Direct,Delivered,Hyderabad,0
ORD00248,CUST0133,2023-07-27,Social Media,Delivered,Hyderabad,0
ORD00249,CUST0216,2022-12-06,Paid Search,Delivered,Indore,0
ORD00250,CUST0484,2023-09-28,Direct,Delivered,Bangalore,15
ORD00251,CUST0272,2022-11-02,Direct,Delivered,Bangalore,10
ORD00252,CUST0093,2022-03-24,Social Media,Delivered,Ahmedabad,0
ORD00253,CUST0251,2022-04-01,Social Media,Delivered,Hyderabad,5
ORD00254,CUST0020,2023-07-01,Direct,Cancelled,Indore,10
ORD00255,CUST0347,2022-01-05,Direct,Delivered,Hyderabad,0
ORD00256,CUST0302,2022-11-10,Organic,Processing,Hyderabad,5
ORD00257,CUST0306,2023-06-21,Paid Search,Cancelled,Jaipur,0
ORD00258,CUST0010,2022-08-22,Organic,Delivered,Chennai,10
ORD00259,CUST0188,2023-12-30,Direct,Delivered,Mumbai,10
ORD00260,CUST0025,2023-09-01,Organic,Returned,Jaipur,0
ORD00261,CUST0060,2023-03-03,Paid Search,Delivered,Hyderabad,15
ORD00262,CUST0216,2023-11-09,Social Media,Delivered,Indore,15
ORD00263,CUST0215,2022-04-18,Organic,Delivered,Ahmedabad,0
ORD00264,CUST0103,2022-09-27,Paid Search,Delivered,Kolkata,10
ORD00265,CUST0353,2023-05-08,Social Media,Cancelled,Ahmedabad,10
ORD00266,CUST0487,2022-04-03,Email,Cancelled,Delhi,15
ORD00267,CUST0234,2022-10-31,Email,Cancelled,Chennai,0
ORD00268,CUST0219,2022-04-29,Email,Delivered,Ahmedabad,0
ORD00269,CUST0332,2022-06-24,Paid Search,Delivered,Bangalore,0
ORD00270,CUST0206,2023-02-14,Direct,Returned,Pune,15
ORD00271,CUST0372,2022-03-02,Direct,Delivered,Chennai,10
ORD00272,CUST0093,2023-09-18,Direct,Cancelled,Ahmedabad,15
ORD00273,CUST0455,2023-02-26,Paid Search,Delivered,Ahmedabad,15
ORD00274,CUST0290,2022-08-18,Email,Delivered,Chennai,15
ORD00275,CUST0178,2023-11-11,Organic,Delivered,Chennai,0
ORD00276,CUST0039,2023-05-19,Organic,Delivered,Ahmedabad,15
ORD00277,CUST0041,2023-04-16,Direct,Delivered,Chennai,0
ORD00278,CUST0053,2023-02-18,Email,Returned,Hyderabad,10
ORD00279,CUST0106,2023-11-02,Email,Delivered,Chennai,10
ORD00280,CUST0187,2023-04-09,Email,Delivered,Indore,0
ORD00281,CUST0425,2023-10-11,Email,Delivered,Delhi,0
ORD00282,CUST0381,2023-02-24,Social Media,Delivered,Jaipur,5
ORD00283,CUST0235,2022-07-15,Organic,Delivered,Chennai,15
ORD00284,CUST0235,2023-11-06,Social Media,Delivered,Chennai,5
ORD00285,CUST0474,2023-06-05,Organic,Returned,Chennai,0
ORD00286,CUST0308,2023-09-13,Direct,Cancelled,Bangalore,0
ORD00287,CUST0497,2022-10-29,Social Media,Cancelled,Ahmedabad,10
ORD00288,CUST0365,2023-07-21,Social Media,Delivered,Mumbai,0
ORD00289,CUST0364,2023-10-28,Social Media,Delivered,Bangalore,0
ORD00290,CUST0246,2023-08-20,Direct,Delivered,Delhi,0
ORD00291,CUST0075,2022-02-24,Paid Search,Returned,Delhi,0
ORD00292,CUST0129,2022-05-30,Email,Delivered,Chennai,10
ORD00293,CUST0184,2023-04-09,Direct,Delivered,Hyderabad,0
ORD00294,CUST0332,2023-07-29,Paid Search,Delivered,Bangalore,5
ORD00295,CUST0495,2023-07-20,Email,Delivered,Jaipur,5
ORD00296,CUST0467,2023-10-11,Email,Delivered,Mumbai,15
ORD00297,CUST0091,2023-12-01,Direct,Delivered,Bangalore,0
ORD00298,CUST0021,2023-03-15,Organic,Returned,Pune,0
ORD00299,CUST0480,2022-06-08,Direct,Delivered,Pune,15
ORD00300,CUST0432,2023-11-09,Social Media,Delivered,Jaipur,15
ORD00301,CUST0490,2022-07-08,Social Media,Delivered,Ahmedabad,10
ORD00302,CUST0048,2022-12-24,Social Media,Delivered,Kolkata,0
ORD00303,CUST0272,2023-05-02,Social Media,Delivered,Bangalore,15
ORD00304,CUST0471,2023-09-29,Direct,Delivered,Indore,0
ORD00305,CUST0277,2022-10-17,Social Media,Returned,Delhi,10
ORD00306,CUST0229,2023-05-14,Direct,Delivered,Delhi,10
ORD00307,CUST0486,2022-04-09,Social Media,Delivered,Bangalore,0
ORD00308,CUST0397,2022-08-07,Email,Cancelled,Hyderabad,15
ORD00309,CUST0352,2022-06-07,Email,Delivered,Delhi,0
ORD00310,CUST0092,2022-09-15,Email,Cancelled,Delhi,5
ORD00311,CUST0231,2023-10-08,Social Media,Delivered,Ahmedabad,15
ORD00312,CUST0300,2022-02-16,Direct,Delivered,Indore,15
ORD00313,CUST0311,2022-03-30,Paid Search,Delivered,Bangalore,5
ORD00314,CUST0070,2023-02-05,Social Media,Cancelled,Ahmedabad,15
ORD00315,CUST0284,2023-07-23,Organic,Delivered,Chennai,10
ORD00316,CUST0157,2022-08-04,Direct,Delivered,Kolkata,0
ORD00317,CUST0100,2022-04-28,Social Media,Delivered,Chennai,10
ORD00318,CUST0282,2022-03-16,Organic,Delivered,Ahmedabad,5
ORD00319,CUST0344,2023-11-03,Social Media,Cancelled,Hyderabad,0
ORD00320,CUST0169,2023-09-24,Social Media,Delivered,Kolkata,0
ORD00321,CUST0161,2022-09-10,Social Media,Delivered,Bangalore,0
ORD00322,CUST0376,2022-12-06,Paid Search,Delivered,Pune,15
ORD00323,CUST0457,2023-07-06,Direct,Delivered,Mumbai,0
ORD00324,CUST0324,2022-02-01,Social Media,Delivered,Hyderabad,10
ORD00325,CUST0201,2022-08-17,Social Media,Delivered,Pune,10
ORD00326,CUST0435,2023-09-21,Organic,Delivered,Kolkata,10
ORD00327,CUST0447,2022-05-30,Organic,Delivered,Chennai,0
ORD00328,CUST0465,2023-01-05,Direct,Delivered,Chennai,15
ORD00329,CUST0135,2023-08-16,Paid Search,Delivered,Chennai,0
ORD00330,CUST0193,2022-08-17,Email,Cancelled,Hyderabad,0
ORD00331,CUST0118,2022-03-20,Organic,Delivered,Mumbai,0
ORD00332,CUST0416,2022-12-05,Social Media,Delivered,Mumbai,10
ORD00333,CUST0332,2023-02-25,Organic,Delivered,Bangalore,0
ORD00334,CUST0323,2023-06-09,Social Media,Delivered,Jaipur,0
ORD00335,CUST0265,2023-02-20,Email,Delivered,Ahmedabad,0
ORD00336,CUST0111,2023-04-05,Email,Delivered,Ahmedabad,10
ORD00337,CUST0136,2022-06-21,Social Media,Delivered,Indore,5
ORD00338,CUST0104,2023-06-20,Organic,Cancelled,Delhi,10
ORD00339,CUST0048,2023-05-09,Social Media,Delivered,Kolkata,15
ORD00340,CUST0268,2023-03-07,Social Media,Delivered,Ahmedabad,5
ORD00341,CUST0412,2023-12-15,Organic,Delivered,Kolkata,0
ORD00342,CUST0146,2023-09-05,Email,Delivered,Pune,10
ORD00343,CUST0336,2022-07-30,Organic,Delivered,Jaipur,0
ORD00344,CUST0290,2023-01-10,Organic,Delivered,Chennai,10
ORD00345,CUST0287,2023-07-23,Email,Delivered,Pune,0
ORD00346,CUST0229,2023-12-18,Social Media,Returned,Delhi,10
ORD00347,CUST0351,2023-12-25,Paid Search,Delivered,Chennai,0
ORD00348,CUST0242,2023-09-07,Paid Search,Delivered,Pune,15
ORD00349,CUST0267,2022-10-21,Email,Delivered,Jaipur,5
ORD00350,CUST0104,2023-11-04,Social Media,Delivered,Delhi,0
ORD00351,CUST0019,2023-01-04,Direct,Delivered,Delhi,0
ORD00352,CUST0343,2023-02-09,Email,Delivered,Pune,0
ORD00353,CUST0469,2023-08-20,Organic,Processing,Hyderabad,5
ORD00354,CUST0134,2022-06-29,Social Media,Delivered,Indore,0
ORD00355,CUST0129,2023-12-12,Email,Processing,Chennai,5
ORD00356,CUST0247,2022-04-30,Email,Delivered,Delhi,15
ORD00357,CUST0490,2022-12-28,Email,Delivered,Ahmedabad,0
ORD00358,CUST0345,2022-12-17,Direct,Delivered,Bangalore,0
ORD00359,CUST0458,2023-08-11,Direct,Delivered,Jaipur,15
ORD00360,CUST0124,2022-09-29,Email,Returned,Kolkata,0
ORD00361,CUST0062,2022-03-22,Direct,Returned,Jaipur,0
ORD00362,CUST0445,2022-10-09,Paid Search,Returned,Ahmedabad,0
ORD00363,CUST0482,2023-07-08,Paid Search,Cancelled,Kolkata,0
ORD00364,CUST0500,2022-05-04,Social Media,Delivered,Hyderabad,0
ORD00365,CUST0096,2023-07-16,Direct,Delivered,Ahmedabad,0
ORD00366,CUST0215,2023-12-19,Paid Search,Delivered,Ahmedabad,0
ORD00367,CUST0417,2022-04-13,Paid Search,Delivered,Indore,0
ORD00368,CUST0413,2022-01-10,Organic,Cancelled,Kolkata,15
ORD00369,CUST0369,2022-11-20,Organic,Delivered,Kolkata,0
ORD00370,CUST0430,2023-10-07,Email,Delivered,Pune,0
ORD00371,CUST0286,2022-09-21,Paid Search,Delivered,Delhi,10
ORD00372,CUST0333,2023-10-27,Paid Search,Delivered,Pune,5
ORD00373,CUST0456,2022-03-22,Direct,Cancelled,Bangalore,15
ORD00374,CUST0293,2023-02-19,Organic,Delivered,Indore,0
ORD00375,CUST0150,2023-12-29,Paid Search,Delivered,Kolkata,0
ORD00376,CUST0495,2023-04-07,Email,Delivered,Jaipur,15
ORD00377,CUST0086,2023-02-11,Organic,Cancelled,Jaipur,10
ORD00378,CUST0014,2023-02-11,Paid Search,Delivered,Kolkata,15
ORD00379,CUST0159,2022-08-23,Paid Search,Delivered,Ahmedabad,10
ORD00380,CUST0018,2023-11-11,Paid Search,Cancelled,Mumbai,0
ORD00381,CUST0497,2023-12-16,Paid Search,Delivered,Ahmedabad,10
ORD00382,CUST0328,2023-10-17,Social Media,Returned,Bangalore,5
ORD00383,CUST0134,2022-06-09,Email,Returned,Indore,0
ORD00384,CUST0005,2023-12-06,Email,Returned,Hyderabad,10
ORD00385,CUST0097,2023-02-26,Email,Delivered,Ahmedabad,5
